Unnamed: 0,warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
93,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1865,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,7,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
94,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1866,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,6,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
95,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1867,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,4,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
96,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1868,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,3,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
97,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1869,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,2,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
98,49,1590,1590.001,140,150,12,23,1864,3,1,1870,1870,3,1,3,1,1.0,100000.0,200000.0,,,300000.0,5,-10.3333333,-53.2,-23.3165935,-58.1693445,Brazil,BRA,Paraguay,PAR
99,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1864,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,1,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
100,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1865,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,5,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
101,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1866,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,4,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
102,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1867,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,3,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
103,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1868,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,2,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
104,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1869,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,7,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
105,49,1590,1590.001,150,140,12,23,1864,3,1,1870,1870,1,3,1,3,3.0,200000.0,100000.0,,,300000.0,6,-23.3165935,-58.1693445,-10.3333333,-53.2,Paraguay,PAR,Brazil,BRA
106,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1865,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,5,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
107,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1866,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,4,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
108,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1867,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,1,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
109,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1868,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,3,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
110,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1869,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,6,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
111,49,1590,1590.0020000000004,150,160,4,13,1865,3,1,1870,1870,1,4,1,3,3.0,200000.0,10000.0,,,210000.0,2,-23.3165935,-58.1693445,-34.9964963,-64.9672817,Paraguay,PAR,Argentina,ARG
112,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1865,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,6,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
113,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1866,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,5,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
114,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1867,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,2,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
115,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1868,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,1,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
116,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1869,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,3,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
117,49,1590,1590.0020000000004,160,150,4,13,1865,3,1,1870,1870,4,1,3,1,1.0,10000.0,200000.0,,,210000.0,4,-34.9964963,-64.9672817,-23.3165935,-58.1693445,Argentina,ARG,Paraguay,PAR
118,52,1482,1482.0020000000004,135,230,1,14,1866,5,9,1866,1866,4,1,3,1,1.0,600.0,300.0,,,900.0,1,-6.8699697,-75.0458515,39.3262345,-4.838064900000001,Peru,PER,Spain,SPN
119,52,1482,1482.0020000000004,230,135,1,14,1866,5,9,1866,1866,1,4,1,3,3.0,300.0,600.0,,,900.0,1,39.3262345,-4.838064900000001,-6.8699697,-75.0458515,Spain,SPN,Peru,PER
120,52,1482,1482.004,155,230,11,26,1865,5,9,1866,1865,3,1,1,3,1.0,100.0,300.0,,,400.0,2,-31.7613365,-71.3187697,39.3262345,-4.838064900000001,Chile,CHL,Spain,SPN
121,52,1482,1482.004,155,230,11,26,1865,5,9,1866,1866,3,1,1,3,1.0,100.0,300.0,,,400.0,1,-31.7613365,-71.3187697,39.3262345,-4.838064900000001,Chile,CHL,Spain,SPN
122,52,1482,1482.004,230,155,11,26,1865,5,9,1866,1865,1,3,3,1,3.0,300.0,100.0,,,400.0,2,39.3262345,-4.838064900000001,-31.7613365,-71.3187697,Spain,SPN,Chile,CHL
