year,stateA,stateB,totalStateA,totalStateB,totalsmoth,importance
1941.0,325.0,530.0,1317.3145752,,0.0,0.0
1941.0,2.0,740.0,8545.0,1961.5924686,212.37,0.02485313048566413
1941.0,310.0,345.0,323.7999878,,0.0,0.0
1941.0,220.0,900.0,928.5975037,835.1612854,38.560001,0.041524988863697716
1941.0,20.0,740.0,2782.882813,1961.5924686,6.71,0.002411168723546247
1941.0,325.0,530.0,1317.3145752,,0.0,0.0
1941.0,560.0,740.0,682.8491516,1961.5924686,12.3,0.006270415591867857
1941.0,255.0,345.0,697.9161377,,0.0,0.0
1941.0,325.0,345.0,1317.3145752,,9.630000099999998,0.0073103268431824135
1941.0,325.0,345.0,1317.3145752,,9.630000099999998,0.0073103268431824135
1941.0,255.0,900.0,697.9161377,835.1612854,0.58999997,0.000706450335179773
1941.0,255.0,920.0,697.9161377,370.3225708,0.02,2.865673813749385e-05
1942.0,20.0,255.0,3629.729737,6552.82251,0.0018239999999999999,2.7835333510353234e-07
1942.0,2.0,220.0,10878.0,1269.3728638,126.32,0.011612428755285897
1942.0,740.0,900.0,1494.1314697999999,1129.3548584,1.5599999,0.0010440847619713257
1942.0,740.0,920.0,1494.1314697999999,430.6451721,0.029999999,2.0078553732634862e-05
1943.0,2.0,255.0,16405.0,6792.741943000001,0.25,1.5239256324291375e-05
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,255.0,325.0,6792.741943000001,,0.0,0.0
1943.0,20.0,255.0,4266.666626,6792.741943000001,0.0,0.0
1944.0,140.0,255.0,963.5992126000001,5482.258057,0.0,0.0
1944.0,220.0,255.0,788.3139801000001,5482.258057,4319.2798,0.787865101403781
1948.0,651.0,666.0,1241.5999756,102.399996759,0.0,0.0
1949.0,710.0,732.0,310.0,145.0,3.7,0.011935483870967743
1949.0,731.0,732.0,182.30000305,145.0,0.0,0.0
1950.0,200.0,710.0,13100.0,1130.0,40.200001,0.003068702366412214
1950.0,200.0,731.0,13100.0,154.97000122,0.0,0.0
1950.0,210.0,710.0,3430.0,1130.0,12.8,0.003731778425655977
1950.0,2.0,710.0,19360.0,1130.0,229.0,0.011828512396694215
1950.0,640.0,710.0,541.0,1130.0,0.0,0.0
1950.0,210.0,731.0,3430.0,154.97000122,0.0,0.0
1950.0,731.0,900.0,154.97000122,3129.0,0.0,0.0
1950.0,350.0,731.0,516.30000305,154.97000122,0.0,0.0
1950.0,640.0,731.0,541.0,154.97000122,0.0,0.0
1950.0,710.0,900.0,1130.0,3129.0,6.740000200000001,0.0021540428891019497
1950.0,731.0,840.0,154.97000122,701.5,0.0,0.0
1950.0,350.0,710.0,516.30000305,1130.0,0.0,0.0
1951.0,530.0,710.0,83.40000153,1960.0,0.2,0.00010204081632653062
1951.0,211.0,731.0,5137.0,127.65000153,0.0,0.0
1951.0,220.0,710.0,7520.0,1960.0,8.6499996,0.001150265904255319
1951.0,220.0,731.0,7520.0,127.65000153,0.0,0.0
1951.0,530.0,731.0,83.40000153,127.65000153,0.0,0.0
1951.0,20.0,710.0,10260.0,1960.0,4.8000002,0.00046783627680311896
1951.0,100.0,710.0,872.2999877999998,1960.0,0.0,0.0
1951.0,710.0,840.0,1960.0,930.7999878,0.60000002,0.00030612245918367343
1951.0,20.0,731.0,10260.0,127.65000153,0.0,0.0
1951.0,211.0,710.0,5137.0,1960.0,12.734368,0.002478950360132373
1951.0,100.0,731.0,872.2999877999998,127.65000153,0.0,0.0
1951.0,710.0,920.0,1960.0,1309.4000244,0.76999998,0.00039285713265306126
1956.0,220.0,651.0,9340.0,939.2000122,61.400002,0.006573876017130621
1956.0,651.0,666.0,939.2000122,467.0,0.0,0.0
