warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1865,3,1,3,1,1,100000,200000,,,300000,7,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1866,3,1,3,1,1,100000,200000,,,300000,6,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1867,3,1,3,1,1,100000,200000,,,300000,4,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1868,3,1,3,1,1,100000,200000,,,300000,3,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1869,3,1,3,1,1,100000,200000,,,300000,2,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,140,150,12,23,1864,3,1,1870,1870,3,1,3,1,1,100000,200000,,,300000,5,-10.3333333,-53.2,-23.3165935,-58.1693445
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1864,1,3,1,3,3,200000,100000,,,300000,1,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1865,1,3,1,3,3,200000,100000,,,300000,5,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1866,1,3,1,3,3,200000,100000,,,300000,4,-23.3165935,-58.1693445,-10.3333333,-53.2
49,1590,1590.001,150,140,12,23,1864,3,1,1870,1867,1,3,1,3,3,200000,100000,,,300000,3,-23.3165935,-58.1693445,-10.3333333,-53.2
